[05/Oct/2024:02:23:36 +0000] 404 - GET http thomasgroupusa.com "/erin1.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:36 +0000] 404 - GET http thomasgroupusa.com "/wp-content/ovarcgosl.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:36 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/maint/rk2.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:36 +0000] 404 - GET http thomasgroupusa.com "/wp-includes" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "//image/gecko.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/twentyfive/include.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/ynz.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/.well-known/pki-validation/radio.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp/wp-content/plugins/qqjpdzwvna/wp-editor.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/css/native.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/~vizelabs/wp-content/plugins/csiydwj/pvkszsqg.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/bs1.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/o2ytteco/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/images" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/u.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/ova-wso.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "//aulavirtual/.github/default.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/0x.php/text.php/max.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:37 +0000] 404 - GET http thomasgroupusa.com "/modules/mod_simplefileuploadv1.3/elements/roitwxmv.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/blog/wp-content/plugins/fix/luuf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/.well-known/pki-validation/file.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/test.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/cgi-bin/mariju.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/fm.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/plugin/allez.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/.lu/luuf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/press/wp-class.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/images/cadastro-2.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/wp-content/ovaltfkhh.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/webdb.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/js/tinymce/skins/lightgray/fonts/about.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/anesthesiology/wp-content/plugins/fix/up.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/uploads/baa.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:38 +0000] 404 - GET http thomasgroupusa.com "/ova.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/bsrdf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/GLAX3NCMq47.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
